mmwr_week,week,week_start,week_end,season,data_source,essence_category,respiratory_category,visit_type,demographic_category,demographic_group,percent,current_week_ending
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,Age Unknown,0.2,2024-11-23
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-12
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.03,2024-10-05
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.11,2024-11-02
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-05
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-12
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-12
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.02,2024-10-05
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-12
202441,41,2024-10-06,2024-10-12,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-10-12
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-05
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.11,2024-10-05
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,18_44,0.01,2024-12-14
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Age Group,Age Unknown,0.33,2024-10-12
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.09,2024-10-05
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,18_44,0.01,2024-12-14
202450,50,2024-12-08,2024-12-14,2024-2025,Essence,Cdc Influenza Dd V1,Influenza,Admissions,Age Group,18_44,0.01,2024-12-14
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,05_17,0.01,2024-10-12
202442,42,2024-10-13,2024-10-19,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-10-19
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Age Group,Age Unknown,1.0,2024-11-23
202441,41,2024-10-06,2024-10-12,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.13,2024-10-12
202447,47,2024-11-17,2024-11-23,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-11-23
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-10-05
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-10-05
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Other Race/Ethnicity,0.01,2024-10-05
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-09
202445,45,2024-11-03,2024-11-09,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-09
202443,43,2024-10-20,2024-10-26,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-10-26
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Age Group,05_17,0.01,2024-11-23
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Ed Visits,Race/Ethnicity,Other Race/Ethnicity,0.1,2024-10-05
202448,48,2024-11-24,2024-11-30,2024-2025,Ilinet,Not Applicable,Ili,Outpatient Visits,All,All,0.01,2024-11-30
202446,46,2024-11-10,2024-11-16,2024-2025,Essence,Influenza-Like Illness,Ili,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-16
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Respiratory Syncytial Virus Dd V1,Rsv,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-23
202447,47,2024-11-17,2024-11-23,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-23
202444,44,2024-10-27,2024-11-02,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-11-02
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Influenza-Like Illness,Ili,Ed Visits,Age Group,00_04,0.03,2024-10-05
202440,40,2024-09-29,2024-10-05,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Age Group,00_04,0.01,2024-10-05
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Admissions,Age Group,05_17,0.01,2024-10-26
202442,42,2024-10-13,2024-10-19,2024-2025,Essence,Cdc Covid-Specific Dd V1,Covid-19,Ed Visits,Race/Ethnicity,Asian Non-Hispanic,0.01,2024-10-19
202443,43,2024-10-20,2024-10-26,2024-2025,Essence,Cdc Broad Acute Respiratory Dd V1,Broad Acute Respiratory,Admissions,Race/Ethnicity,Asian Non-Hispanic,0.11,2024-10-26
