current_week_ending,visit_type,respiratory_category,demographic_group,percent
2024-10-05,Admissions,Broad Acute Respiratory,00_04,0.09000000000000001
2024-10-05,Admissions,Broad Acute Respiratory,05_17,0.17
2024-10-05,Admissions,Broad Acute Respiratory,18_44,0.06333333333333334
2024-10-05,Admissions,Broad Acute Respiratory,45_64,0.14333333333333334
2024-10-05,Admissions,Broad Acute Respiratory,65+,0.17833333333333334
2024-10-05,Admissions,Broad Acute Respiratory,Age Unknown,0.5
2024-10-05,Admissions,Broad Acute Respiratory,All,0.12833333333333333
2024-10-05,Admissions,Broad Acute Respiratory,Asian Non-Hispanic,0.10333333333333333
2024-10-05,Admissions,Broad Acute Respiratory,Black Non-Hispanic,0.14666666666666667
2024-10-05,Admissions,Broad Acute Respiratory,Hispanic Or Latino,0.11333333333333334
2024-10-05,Admissions,Broad Acute Respiratory,Other Race/Ethnicity,0.12
2024-10-05,Admissions,Broad Acute Respiratory,Unknown Race/Ethnicity,0.09833333333333333
2024-10-05,Admissions,Broad Acute Respiratory,White Non-Hispanic,0.11666666666666665
2024-10-05,Admissions,Covid-19,00_04,0.01
2024-10-05,Admissions,Covid-19,05_17,0.0125
2024-10-05,Admissions,Covid-19,18_44,0.02
2024-10-05,Admissions,Covid-19,45_64,0.022
2024-10-05,Admissions,Covid-19,65+,0.027999999999999997
2024-10-05,Admissions,Covid-19,All,0.019999999999999997
2024-10-05,Admissions,Covid-19,Asian Non-Hispanic,0.03
2024-10-05,Admissions,Covid-19,Black Non-Hispanic,0.018
2024-10-05,Admissions,Covid-19,Hispanic Or Latino,0.025
2024-10-05,Admissions,Covid-19,Other Race/Ethnicity,0.0275
2024-10-05,Admissions,Covid-19,Unknown Race/Ethnicity,0.0225
2024-10-05,Admissions,Covid-19,White Non-Hispanic,0.02
2024-10-05,Admissions,Ili,00_04,0.01
2024-10-05,Admissions,Ili,05_17,0.0175
2024-10-05,Admissions,Ili,45_64,0.01
2024-10-05,Admissions,Ili,65+,0.01
2024-10-05,Admissions,Ili,All,0.01
2024-10-05,Admissions,Ili,Asian Non-Hispanic,0.015
2024-10-05,Admissions,Ili,Black Non-Hispanic,0.01
2024-10-05,Admissions,Ili,Hispanic Or Latino,0.01
2024-10-05,Admissions,Ili,Other Race/Ethnicity,0.01
2024-10-05,Admissions,Ili,Unknown Race/Ethnicity,0.013333333333333334
2024-10-05,Admissions,Rsv,00_04,0.02
2024-10-05,Admissions,Rsv,05_17,0.030000000000000002
2024-10-05,Admissions,Rsv,All,0.01
2024-10-05,Admissions,Rsv,Black Non-Hispanic,0.01
2024-10-05,Admissions,Rsv,Hispanic Or Latino,0.01
2024-10-05,Admissions,Rsv,Other Race/Ethnicity,0.01
2024-10-05,Ed Visits,Broad Acute Respiratory,00_04,0.27999999999999997
2024-10-05,Ed Visits,Broad Acute Respiratory,05_17,0.14100000000000001
2024-10-05,Ed Visits,Broad Acute Respiratory,18_44,0.062
2024-10-05,Ed Visits,Broad Acute Respiratory,45_64,0.064
2024-10-05,Ed Visits,Broad Acute Respiratory,65+,0.082
2024-10-05,Ed Visits,Broad Acute Respiratory,Age Unknown,0.12000000000000001
2024-10-05,Ed Visits,Broad Acute Respiratory,All,0.09
2024-10-05,Ed Visits,Broad Acute Respiratory,Asian Non-Hispanic,0.099
2024-10-05,Ed Visits,Broad Acute Respiratory,Black Non-Hispanic,0.093
2024-10-05,Ed Visits,Broad Acute Respiratory,Hispanic Or Latino,0.10200000000000001
2024-10-05,Ed Visits,Broad Acute Respiratory,Other Race/Ethnicity,0.098
2024-10-05,Ed Visits,Broad Acute Respiratory,Unknown Race/Ethnicity,0.064
2024-10-05,Ed Visits,Broad Acute Respiratory,White Non-Hispanic,0.08
2024-10-05,Ed Visits,Covid-19,00_04,0.01
2024-10-05,Ed Visits,Covid-19,05_17,0.01
2024-10-05,Ed Visits,Covid-19,18_44,0.0125
2024-10-05,Ed Visits,Covid-19,45_64,0.014000000000000002
2024-10-05,Ed Visits,Covid-19,65+,0.018
2024-10-05,Ed Visits,Covid-19,All,0.015000000000000001
2024-10-05,Ed Visits,Covid-19,Asian Non-Hispanic,0.016
2024-10-05,Ed Visits,Covid-19,Black Non-Hispanic,0.0125
2024-10-05,Ed Visits,Covid-19,Hispanic Or Latino,0.0125
2024-10-05,Ed Visits,Covid-19,Other Race/Ethnicity,0.023333333333333334
2024-10-05,Ed Visits,Covid-19,Unknown Race/Ethnicity,0.014000000000000002
2024-10-05,Ed Visits,Covid-19,White Non-Hispanic,0.012
2024-10-05,Ed Visits,Ili,00_04,0.05600000000000001
2024-10-05,Ed Visits,Ili,05_17,0.03
2024-10-05,Ed Visits,Ili,18_44,0.01
2024-10-05,Ed Visits,Ili,45_64,0.01
2024-10-05,Ed Visits,Ili,65+,0.01
2024-10-05,Ed Visits,Ili,All,0.014000000000000002
2024-10-05,Ed Visits,Ili,Asian Non-Hispanic,0.0175
2024-10-05,Ed Visits,Ili,Black Non-Hispanic,0.012
2024-10-05,Ed Visits,Ili,Hispanic Or Latino,0.02
2024-10-05,Ed Visits,Ili,Other Race/Ethnicity,0.014000000000000002
2024-10-05,Ed Visits,Ili,Unknown Race/Ethnicity,0.013333333333333332
2024-10-05,Ed Visits,Ili,White Non-Hispanic,0.011
2024-10-05,Ed Visits,Influenza,00_04,0.01
2024-10-05,Ed Visits,Influenza,05_17,0.01
2024-10-05,Ed Visits,Rsv,00_04,0.03
2024-10-05,Ed Visits,Rsv,05_17,0.01
2024-10-05,Ed Visits,Rsv,All,0.01
2024-10-05,Ed Visits,Rsv,Asian Non-Hispanic,0.01
2024-10-05,Ed Visits,Rsv,Black Non-Hispanic,0.01
2024-10-05,Ed Visits,Rsv,Hispanic Or Latino,0.01
2024-10-05,Ed Visits,Rsv,Other Race/Ethnicity,0.01
2024-10-05,Ed Visits,Rsv,White Non-Hispanic,0.01
2024-10-05,Outpatient Visits,Ili,All,0.019
